pairID,minute,touching,treatment,hive
A_A4,40,1,Ringers,Garden
A_A5,40,1,Ringers,Garden
A_A6,40,1,Ringers,Garden
A_A7,40,1,Ringers,Garden
A_A8,40,1,Ringers,Garden
A_A9,40,0,Ringers,Garden
A_A10,40,1,Ringers,Garden
A_A11,40,1,Ringers,Garden
A_A12,40,1,Ringers,Garden
A_A13,40,0,Ringers,Garden
A_A14,40,1,Ringers,Garden
A_A15,40,0,Ringers,Garden
A_A16,40,1,Ringers,Garden
A_A17,40,1,Ringers,Garden
A_A18,40,1,Ringers,Garden
A_A19,40,1,Ringers,Garden
A_A20,40,1,Ringers,Garden
A_A21,40,1,Ringers,Garden
A_A22,40,0,Ringers,Garden
A_A23,40,1,Ringers,Garden
A_A24,40,1,Ringers,Garden
A_A25,40,0,Ringers,Garden
A_A26,40,1,Ringers,Garden
A_A27,40,1,Ringers,Garden
A_A28,40,1,Ringers,Garden
A_A29,40,1,Ringers,Garden
A_A30,40,1,Ringers,Garden
A_A31,40,1,Ringers,Garden
A_A32,40,0,Ringers,Garden
A_B1,40,1,Ringers,Garden
A_B2,40,1,Ringers,Garden
A_B3,40,1,Ringers,Garden
A_B4,40,1,Ringers,Garden
A_B5,40,1,Ringers,Garden
A_B6,40,1,Ringers,Garden
A_B7,40,0,Ringers,Garden
A_B8,40,1,Ringers,Garden
A_B9,40,1,Ringers,Garden
A_B10,40,0,Ringers,Garden
A_B11,40,1,Ringers,Garden
A_B12,40,0,Ringers,Garden
A_B13,40,1,Ringers,Garden
A_B14,40,0,Ringers,Garden
A_B15,40,1,Ringers,Garden
A_B16,40,1,Ringers,Garden
A_B17,40,1,Ringers,Garden
A_B18,40,0,Ringers,Garden
A_B19,40,0,Ringers,Garden
A_B20,40,1,Ringers,Garden
A_B21,40,0,Ringers,Garden
A_B22,40,1,Ringers,Garden
A_B23,40,1,Ringers,Garden
A_B24,40,1,Ringers,Garden
A_B25,40,1,Ringers,Garden
A_B26,40,1,Ringers,Garden
A_B27,40,1,Ringers,Garden
A_B28,40,1,Ringers,Garden
A_B29,40,0,Ringers,Garden
A_B30,40,1,Ringers,Garden
A_B31,40,0,Ringers,Garden
A_B32,40,1,Ringers,Garden
A_B33,40,1,Ringers,Garden
A_B34,40,1,Ringers,Garden
A_B35,40,1,Ringers,Garden
A_B36,40,0,Ringers,Garden
A_B37,40,1,Ringers,Garden
A_B38,40,0,Ringers,Garden
A_C1,40,1,LPS,Garden
A_C2,40,1,LPS,Garden
A_C3,40,0,LPS,Garden
A_C4,40,1,LPS,Garden
A_C5,40,0,LPS,Garden
A_C6,40,1,LPS,Garden
A_C7,40,1,LPS,Garden
A_C8,40,1,LPS,Garden
A_C9,40,1,LPS,Garden
A_C10,40,1,LPS,Garden
A_C11,40,1,LPS,Garden
A_C12,40,1,LPS,Garden
A_C13,40,1,LPS,Garden
A_C14,40,1,LPS,Garden
A_C15,40,1,LPS,Garden
A_C16,40,1,LPS,Garden
A_C17,40,1,LPS,Garden
A_C18,40,1,LPS,Garden
A_C19,40,1,LPS,Garden
A_C20,40,1,LPS,Garden
A_C21,40,1,LPS,Garden
A_C22,40,0,LPS,Garden
